name,price,url
Pago de Carraovejas 2020,"37,40 €",https://www.vinissimus.com/es/vino/pago-de-carraovejas/
José Pariente Verdejo 2022,"10,50 €",https://www.vinissimus.com/es/vino/jose-pariente-verdejo/
Ultreia Saint Jacques 2021,"11,50 €",https://www.vinissimus.com/es/vino/ultreia-saint-jacques/
PSI 2020,"37,95 €",https://www.vinissimus.com/es/vino/psi/
La Montesa 2019,"13,60 €",https://www.vinissimus.com/es/vino/la-montesa/
Louro 2022,"18,50 €",https://www.vinissimus.com/es/vino/louro/
Viña Tondonia Reserva 2010,"38,90 €",https://www.vinissimus.com/es/vino/vina-tondonia-reserva/
Viña Ardanza Reserva 2016,"27,60 €",https://www.vinissimus.com/es/vino/vina-ardanza-reserva/
Marqués de Murrieta Reserva 2018,"22,40 €",https://www.vinissimus.com/es/vino/marques-de-murrieta-reserva/
Domaines Lupier El Terroir 2018,"19,90 €",https://www.vinissimus.com/es/vino/domaines-lupier-el-terroir/
Emilio Moro Finca Resalso 2021,"9,60 €",https://www.vinissimus.com/es/vino/emilio-moro-finca-resalso/
Pago de los Capellanes Roble 2022,"14,65 €",https://www.vinissimus.com/es/vino/pago-de-los-capellanes-roble/
Nekeas Cepa por Cepa Garnacha 2022,"6,10 €",https://www.vinissimus.com/es/vino/nekeas-cepa-por-cepa-garnacha/
Viña Tondonia Reserva Blanco 2012,"58,00 €",https://www.vinissimus.com/es/vino/vina-tondonia-blanco-reserva/
Les Cousins L'Inconscient 2021,"10,95 €",https://www.vinissimus.com/es/vino/les-cousins-l-inconscient/
O Luar Do Sil 2022,"12,80 €",https://www.vinissimus.com/es/vino/o-luar-do-sil/
Corimbo 2019,"21,90 €",https://www.vinissimus.com/es/vino/corimbo/
Muga Crianza 2019,"18,95 €",https://www.vinissimus.com/es/vino/muga-crianza/
Belondrade y Lurton 2021,"44,50 €",https://www.vinissimus.com/es/vino/belondrade-y-lurton/
Pago de los Capellanes Crianza 2020,"24,30 €",https://www.vinissimus.com/es/vino/pago-de-los-capellanes-crianza/
Enate Chardonnay - 234 2022,"9,30 €",https://www.vinissimus.com/es/vino/enate-chardonnay-234/
El Castro de Valtuille Mencía Joven 2022,"6,95 €",https://www.vinissimus.com/es/vino/el-castro-de-valtuille-mencia-joven/
Hacienda Solano Selección 2021,"12,50 €",https://www.vinissimus.com/es/vino/hacienda-solano-seleccion/
Els Pics 2020,"17,40 €",https://www.vinissimus.com/es/vino/els-pics/
Les Terrasses 2020,"34,90 €",https://www.vinissimus.com/es/vino/les-terrasses-laderas-de-pizarra/
Laya 2021,"6,45 €",https://www.vinissimus.com/es/vino/laya/
Tinto Pesquera Crianza 2020,"18,50 €",https://www.vinissimus.com/es/vino/tinto-pesquera-crianza/
Familia Oliveda Brut Jove,"6,40 €",https://www.vinissimus.com/es/cava/familia-oliveda-brut-jove/
Casa Castillo Monastrell 2021,"8,95 €",https://www.vinissimus.com/es/vino/casa-castillo/
Pepe Yllera Roble 2019,"8,95 €",https://www.vinissimus.com/es/vino/pepe-yllera-roble/
Carmelo Rodero Crianza 2020,"23,40 €",https://www.vinissimus.com/es/vino/carmelo-rodero-crianza/
Valldolina Reserva Brut Nature,"9,95 €",https://www.vinissimus.com/es/cava/vall-dolina-reserva-brut-nature/
Abadía Retuerta Selección Especial 2019,"32,50 €",https://www.vinissimus.com/es/vino/abadia-retuerta-seleccion-especial/
Familia Oliveda Brut Rosat,"6,40 €",https://www.vinissimus.com/es/cava/familia-oliveda-brut-rosat/
Martín Códax Albariño 2022,"14,50 €",https://www.vinissimus.com/es/vino/martin-codax-albarino/
Bozeto de Exopto 2021,"8,20 €",https://www.vinissimus.com/es/vino/bozeto-de-exopto/
La Vizcaína El Rapolao 2021,"21,90 €",https://www.vinissimus.com/es/vino/rapolao/
José Pariente Sauvignon Blanc 2022,"10,50 €",https://www.vinissimus.com/es/vino/jose-pariente-sauvignon-blanc/
Cutio Garnacha 2019,"8,95 €",https://www.vinissimus.com/es/vino/cutio-garnacha/
Malpaso 2021,"14,50 €",https://www.vinissimus.com/es/vino/malpaso/
Viña Zorzal Garnacha Blanca 2021,"7,50 €",https://www.vinissimus.com/es/vino/vina-zorzal-garnacha-blanca/
Bosque de Matasnos Etiqueta Blanca 2020,"29,90 €",https://www.vinissimus.com/es/vino/bosque-de-matasnos-crianza/
Huguet Reserva Brut Nature 2016,"14,90 €",https://www.vinissimus.com/es/cava/huguet-gran-reserva-brut-nature/
Honoro Vera Garnacha 2021,"6,45 €",https://www.vinissimus.com/es/vino/honoro-vera-garnacha/
Emilio Moro 2020,"20,90 €",https://www.vinissimus.com/es/vino/emilio-moro/
Pétalos del Bierzo 2021,"17,50 €",https://www.vinissimus.com/es/vino/petalos-del-bierzo/
Arzuaga Crianza 2020,"22,95 €",https://www.vinissimus.com/es/vino/arzuaga-crianza/
Coto de Imaz Reserva 2018,"10,50 €",https://www.vinissimus.com/es/vino/coto-de-imaz-reserva/
