,0
0,https://www.vinissimus.com/es/vino/pago-de-carraovejas/
1,https://www.vinissimus.com/es/vino/jose-pariente-verdejo/
2,https://www.vinissimus.com/es/vino/ultreia-saint-jacques/
3,https://www.vinissimus.com/es/vino/psi/
4,https://www.vinissimus.com/es/vino/la-montesa/
5,https://www.vinissimus.com/es/vino/louro/
6,https://www.vinissimus.com/es/vino/vina-tondonia-reserva/
7,https://www.vinissimus.com/es/vino/vina-ardanza-reserva/
8,https://www.vinissimus.com/es/vino/marques-de-murrieta-reserva/
9,https://www.vinissimus.com/es/vino/domaines-lupier-el-terroir/
10,https://www.vinissimus.com/es/vino/emilio-moro-finca-resalso/
11,https://www.vinissimus.com/es/vino/pago-de-los-capellanes-roble/
12,https://www.vinissimus.com/es/vino/nekeas-cepa-por-cepa-garnacha/
13,https://www.vinissimus.com/es/vino/vina-tondonia-blanco-reserva/
14,https://www.vinissimus.com/es/vino/les-cousins-l-inconscient/
15,https://www.vinissimus.com/es/vino/o-luar-do-sil/
16,https://www.vinissimus.com/es/vino/corimbo/
17,https://www.vinissimus.com/es/vino/muga-crianza/
18,https://www.vinissimus.com/es/vino/belondrade-y-lurton/
19,https://www.vinissimus.com/es/vino/pago-de-los-capellanes-crianza/
20,https://www.vinissimus.com/es/vino/enate-chardonnay-234/
21,https://www.vinissimus.com/es/vino/el-castro-de-valtuille-mencia-joven/
22,https://www.vinissimus.com/es/vino/hacienda-solano-seleccion/
23,https://www.vinissimus.com/es/vino/els-pics/
24,https://www.vinissimus.com/es/vino/les-terrasses-laderas-de-pizarra/
25,https://www.vinissimus.com/es/vino/laya/
26,https://www.vinissimus.com/es/vino/tinto-pesquera-crianza/
27,https://www.vinissimus.com/es/cava/familia-oliveda-brut-jove/
28,https://www.vinissimus.com/es/vino/casa-castillo/
29,https://www.vinissimus.com/es/vino/pepe-yllera-roble/
30,https://www.vinissimus.com/es/vino/carmelo-rodero-crianza/
31,https://www.vinissimus.com/es/cava/vall-dolina-reserva-brut-nature/
32,https://www.vinissimus.com/es/vino/abadia-retuerta-seleccion-especial/
33,https://www.vinissimus.com/es/cava/familia-oliveda-brut-rosat/
34,https://www.vinissimus.com/es/vino/martin-codax-albarino/
35,https://www.vinissimus.com/es/vino/bozeto-de-exopto/
36,https://www.vinissimus.com/es/vino/rapolao/
37,https://www.vinissimus.com/es/vino/jose-pariente-sauvignon-blanc/
38,https://www.vinissimus.com/es/vino/cutio-garnacha/
39,https://www.vinissimus.com/es/vino/malpaso/
40,https://www.vinissimus.com/es/vino/vina-zorzal-garnacha-blanca/
41,https://www.vinissimus.com/es/vino/bosque-de-matasnos-crianza/
42,https://www.vinissimus.com/es/cava/huguet-gran-reserva-brut-nature/
43,https://www.vinissimus.com/es/vino/honoro-vera-garnacha/
44,https://www.vinissimus.com/es/vino/emilio-moro/
45,https://www.vinissimus.com/es/vino/petalos-del-bierzo/
46,https://www.vinissimus.com/es/vino/arzuaga-crianza/
47,https://www.vinissimus.com/es/vino/coto-de-imaz-reserva/
48,https://www.vinissimus.com/es/vino/chivite-las-fincas-rosado/
49,https://www.vinissimus.com/es/vino/ramon-bilbao-crianza/
50,https://www.vinissimus.com/es/vino/campillo-gran-reserva/
51,https://www.vinissimus.com/es/vino/juan-gil-etiqueta-amarilla/
52,https://www.vinissimus.com/es/vino/dehesa-la-granja/
53,https://www.vinissimus.com/es/vino/alaya-tierra/
54,https://www.vinissimus.com/es/cava/gramona-imperial-gran-reserva/
55,https://www.vinissimus.com/es/vino/belondrade-quinta-apolonia/
56,https://www.vinissimus.com/es/cava/familia-oliveda-brut-nature-reserva/
57,https://www.vinissimus.com/es/vino/martelo-reserva/
58,https://www.vinissimus.com/es/vino/lalama/
59,https://www.vinissimus.com/es/vino/k-naia/
60,https://www.vinissimus.com/es/vino/lindes-de-remelluri-vinedos-de-san-vicente/
61,https://www.vinissimus.com/es/vino/el-perro-verde/
62,https://www.vinissimus.com/es/vino/vina-barredero/
63,https://www.vinissimus.com/es/vino/vinas-del-vero-gewurztraminer/
64,https://www.vinissimus.com/es/cava/rigol-brut-nature/
65,https://www.vinissimus.com/es/vino/casar-godello-blanco/
66,https://www.vinissimus.com/es/cava/llopart-reserva-brut-nature/
67,https://www.vinissimus.com/es/vino/eduardo-bravo/
68,https://www.vinissimus.com/es/vino/tomas-postigo-tinto-crianza/
69,https://www.vinissimus.com/es/vino/pruno/
70,https://www.vinissimus.com/es/vino/luna-beberide-godello/
71,https://www.vinissimus.com/es/vino/remelluri-reserva/
72,https://www.vinissimus.com/es/vino/mar-cel-lacrima-baccus-blanc-de-blancs/
73,https://www.vinissimus.com/es/vino/les-brugueres-blanc/
74,https://www.vinissimus.com/es/vino/marieta/
75,https://www.vinissimus.com/es/vino/naia/
76,https://www.vinissimus.com/es/vino/casal-de-arman-blanco/
77,https://www.vinissimus.com/es/cava/recaredo-gran-reserva-brut-nature/
78,https://www.vinissimus.com/es/vino/hacienda-monasterio/
79,https://www.vinissimus.com/es/vino/pago-de-los-capellanes-reserva/
80,https://www.vinissimus.com/es/vino/enate-rosado/
81,https://www.vinissimus.com/es/vino/4-kilos/
82,https://www.vinissimus.com/es/vino/almirez/
83,https://www.vinissimus.com/es/vino/rafael-cambra-uno/
84,https://www.vinissimus.com/es/vino/valtravieso-crianza/
85,https://www.vinissimus.com/es/vino/matarromera-crianza/
86,https://www.vinissimus.com/es/vino/romanico/
87,https://www.vinissimus.com/es/vino/pulpo-albarino/
88,https://www.vinissimus.com/es/vino/casa-castillo-la-tendida/
89,https://www.vinissimus.com/es/vino/mas-d-en-compte-blanc/
90,https://www.vinissimus.com/es/cava/can-descregut-brut-nature-reserva/
